open	high	low	fluctuation range	close	day range	adj_close
425	425	402.600006	22.399994	408.450012	16.549988	378.828522
412.100006	427.549988	412.100006	15.449982	425.75	13.649994	394.873871
426	435.899994	420	15.899994	434.350006	8.350006	402.85022
435.700012	442	426.200012	15.799988	429.700012	6	398.537415
430	437	422.649994	14.350006	431.200012	1.200012	399.92865
431	435	424	11	425.450012	5.549988	394.595673
425	449.799988	423.799988	26	445.850006	20.850006	413.516205
447	454.899994	433.200012	21.699982	437.600006	9.399994	405.864532
435	440.700012	434	6.700012	436.25	1.25	404.612427
439	445	435.5	9.5	441.799988	2.799988	409.759857
444	461.799988	444	17.799988	459.200012	15.200012	425.898041
461	462.399994	454	8.399994	455.950012	5.049988	422.883759
458	459.350006	446.25	13.100006	451.149994	6.850006	418.431793
453	455.899994	446.549988	9.350006	454.149994	1.149994	421.214203
451.25	464.350006	451.25	13.100006	460	8.75	426.639984
463	475.399994	458	17.399994	471.350006	8.350006	437.166931
470	472.399994	464.200012	8.199982	466.950012	3.049988	433.085999
473	476.399994	466.25	10.149994	468.799988	4.200012	434.801819
475	475	460.149994	14.850006	463.399994	11.600006	429.793457
464	471.399994	461.549988	9.850006	464.049988	0.049988	430.396271
478	478	460.5	17.5	461.649994	16.350006	428.170349
463	468	456	12	457.399994	5.600006	424.228546
459	465.950012	459	6.950012	461.899994	2.899994	428.402252
465	472.450012	463.100006	9.350006	470.350006	5.350006	436.239441
472.899994	474	462	12	463.850006	9.049988	430.210785
465	480	430	50	446.649994	18.350006	414.258148
451	454	432	22	436.549988	14.450012	404.890686
440	443.799988	436	7.799988	440.649994	0.649994	408.693268
444	444	420.5	23.5	423.850006	20.149994	393.111664
424	434.700012	422.049988	12.650024	427.350006	3.350006	396.357849
430.899994	435.5	408	27.5	412.799988	18.100006	382.862976
417.5	443.799988	417.5	26.299988	437.299988	19.799988	405.586243
439.899994	439.899994	417	22.899994	419.75	20.149994	389.309021
428	428	414.700012	13.299988	420.649994	7.350006	390.143768
423	427.700012	415.649994	12.050018	418.549988	4.450012	388.196045
419.299988	422.100006	405.149994	16.950012	408.149994	11.149994	378.550232
406	406	389.149994	16.850006	394.75	11.25	366.12204
394.75	412	394.75	17.25	410.350006	15.600006	380.590729
408	423	407.100006	15.899994	421.700012	13.700012	391.117584
421.700012	439.899994	421.700012	18.199982	437.950012	16.25	406.189117
438.600006	450.399994	430	20.399994	448.700012	10.100006	416.159454
452	455.5	448.549988	6.950012	453.75	1.75	420.843231
457	457	442.100006	14.899994	449.549988	7.450012	416.947845
445	454.5	445	9.5	450.149994	5.149994	417.504364
450.100006	462	450.100006	11.899994	460.25	10.149994	426.871918
462.649994	465.700012	452.149994	13.550018	463.049988	0.399994	429.468872
464	467.5	455	12.5	459.149994	4.850006	425.851624
461	470.299988	453.600006	16.699982	465.549988	4.549988	431.787476
466.5	489.75	463	26.75	487.899994	21.399994	452.516724
490	492	478.149994	13.850006	481.149994	8.850006	446.256195
481.200012	502.5	480	22.5	500.399994	19.199982	464.110199
507.5	507.5	486.549988	20.950012	491.049988	16.450012	455.438263
492	494.950012	487.350006	7.600006	490.049988	1.950012	454.510712
491.200012	493	468.100006	24.899994	471.799988	19.400024	437.584229
474.399994	475.5	467.049988	8.450012	473.649994	0.75	439.30011
473	477.899994	458.350006	19.549988	463.100006	9.899994	429.515228
467.700012	472.600006	462.5	10.100006	465.850006	1.850006	432.065735
465.700012	475	463	12	473.75	8.049988	439.392822
475	476	468.100006	7.899994	471.299988	3.700012	437.120453
471	476	468	8	472.950012	1.950012	438.650879
476	479.350006	471.299988	8.050018	474.350006	1.649994	439.949341
477.700012	483	458.600006	24.399994	473.100006	4.600006	438.790009
476	477.399994	459.450012	17.949982	463.5	12.5	429.886169
468	468.799988	454.100006	14.699982	462.100006	5.899994	428.587769
463	475.200012	463	12.200012	473.850006	10.850006	439.485626
475.200012	485.5	473.549988	11.950012	483.600006	8.399994	448.528534
484	485	464.600006	20.399994	469.200012	14.799988	435.172821
467	473	463.149994	9.850006	465.200012	1.799988	431.462891
467.899994	468.899994	457.149994	11.75	459.950012	7.949982	426.593597
460	465.200012	457.149994	8.050018	461.600006	1.600006	428.123993
463.149994	468.899994	454.899994	14	457.649994	5.5	424.460388
457.649994	462.700012	451.600006	11.100006	453.799988	3.850006	420.889648
454.049988	456.399994	447.149994	9.25	449.450012	4.599976	416.855133
451	455.799988	447.5	8.299988	449.850006	1.149994	417.226105
449	449	433.049988	15.950012	437.450012	11.549988	405.725433
437	450.75	423.200012	27.549988	448	11	415.510284
451	451	426.299988	24.700012	428.950012	22.049988	397.841858
430	434.600006	419.5	15.100006	420.799988	9.200012	390.282806
421	425.799988	408.049988	17.75	411.75	9.25	381.88916
414	418.350006	405	13.350006	411.75	2.25	381.88916
411.75	430.850006	411.75	19.100006	421.200012	9.450012	390.653839
421.700012	421.700012	408.25	13.450012	411.850006	9.850006	381.981934
418	420.899994	408	12.899994	418.950012	0.950012	388.567017
421.5	431.200012	417	14.200012	421.299988	0.200012	390.746613
426.899994	432.799988	418	14.799988	430.5	3.600006	399.279327
431	432	415	17	420.049988	10.950012	389.58725
420.75	423	401.149994	21.850006	403.100006	17.649994	373.866486
406	411.850006	398.200012	13.649994	407.5	1.5	377.947388
405.049988	416.899994	405.049988	11.850006	410.450012	5.400024	380.683502
414	415	407.100006	7.899994	411.5	2.5	381.65741
414.899994	415.399994	400.149994	15.25	402.200012	12.699982	373.03183
403.950012	409.799988	399	10.799988	407.649994	3.699982	378.086487
409.799988	414	407	7	411.649994	1.850006	381.796387
411.649994	413	401.649994	11.350006	404.700012	6.949982	375.350464
403	415	396.299988	18.700012	412.149994	9.149994	382.260132
415	423.399994	413.799988	9.600006	415	0	384.903534
416.100006	429.399994	414.5	14.899994	427	10.899994	396.033234
433	434.950012	418	16.950012	432.850006	0.149994	401.459015
435	441.799988	427.649994	14.149994	439.350006	4.350006	407.48761
440	442.5	432	10.5	440.700012	0.700012	408.739655
439	443.899994	429.100006	14.799988	430.799988	8.200012	399.557648
428.25	430.950012	416.5	14.450012	418.450012	9.799988	388.103241
